,region,year,policy,agg.land,hist_value,Protection,value
1,Africa_Eastern,2050,CORE,Biomass,342.1885043,10,0.304613011
2,Africa_Eastern,2050,CORE,Crops,8617.473012,10,-0.610373669
3,Africa_Eastern,2050,CORE,desert,914.44174,10,0
4,Africa_Eastern,2050,CORE,Forests (Harvested),1912.020431,10,-0.284595751
5,Africa_Eastern,2050,CORE,Forests (Unmanaged),14.11578309,10,3.394076651
6,Africa_Eastern,2050,CORE,Grassland,37721.41595,10,0.315801622
7,Africa_Eastern,2050,CORE,Grazed Pasture,3466.156167,10,-0.410159419
8,Africa_Eastern,2050,CORE,Shrubland,6692.83803,10,-0.084090306
9,Africa_Eastern,2050,CORE,urban,8.2136,10,0
10,Africa_Northern,2050,CORE,Biomass,12.00258334,10,0.833385658
11,Africa_Northern,2050,CORE,Crops,3544.654878,10,-0.380028895
12,Africa_Northern,2050,CORE,desert,4577.42712,10,0
13,Africa_Northern,2050,CORE,Forests (Harvested),401.6333615,10,-0.156173946
14,Africa_Northern,2050,CORE,Forests (Unmanaged),0,10,NA
15,Africa_Northern,2050,CORE,Grassland,9034.939096,10,0.192730066
16,Africa_Northern,2050,CORE,Grazed Pasture,401.50772,10,-0.131095312
17,Africa_Northern,2050,CORE,Shrubland,677.9884517,10,-0.135113959
18,Africa_Northern,2050,CORE,urban,10.89136,10,0
19,Africa_Southern,2050,CORE,Biomass,283.8798555,10,0.60436642
20,Africa_Southern,2050,CORE,Crops,5862.671055,10,-0.18994243
21,Africa_Southern,2050,CORE,desert,153.7390858,10,0
22,Africa_Southern,2050,CORE,Forests (Harvested),845.0923362,10,-0.085013079
23,Africa_Southern,2050,CORE,Forests (Unmanaged),6086.064943,10,0.023774804
24,Africa_Southern,2050,CORE,Grassland,47218.86553,10,0.022609749
25,Africa_Southern,2050,CORE,Grazed Pasture,892.5757131,10,-0.152710613
26,Africa_Southern,2050,CORE,Shrubland,3967.030283,10,-0.016963719
27,Africa_Southern,2050,CORE,urban,9.1793989,10,0
28,Africa_Western,2050,CORE,Biomass,1008.222696,10,-0.245313139
29,Africa_Western,2050,CORE,Crops,16705.58547,10,-0.431229429
30,Africa_Western,2050,CORE,desert,2678.29155,10,0
31,Africa_Western,2050,CORE,Forests (Harvested),2521.794228,10,-0.136998276
32,Africa_Western,2050,CORE,Forests (Unmanaged),24169.62155,10,0.019535336
33,Africa_Western,2050,CORE,Grassland,54105.89803,10,0.24109132
34,Africa_Western,2050,CORE,Grazed Pasture,1733.874486,10,-0.496377113
35,Africa_Western,2050,CORE,Shrubland,3240.907714,10,0.011068463
36,Africa_Western,2050,CORE,urban,24.14843,10,0
37,Argentina,2050,CORE,Biomass,67.84482609,10,0.440641197
38,Argentina,2050,CORE,Crops,5752.918329,10,-0.276508334
39,Argentina,2050,CORE,desert,159.6334102,10,0
40,Argentina,2050,CORE,Forests (Harvested),121.676307,10,-0.044235646
41,Argentina,2050,CORE,Forests (Unmanaged),1648.681499,10,0.013353947
42,Argentina,2050,CORE,Grassland,20236.76122,10,0.080161179
43,Argentina,2050,CORE,Grazed Pasture,1272.38919,10,-0.011628895
44,Argentina,2050,CORE,Shrubland,2066.590832,10,0.004906939
45,Argentina,2050,CORE,urban,5.58801199,10,0
46,Australia_NZ,2050,CORE,Biomass,125.3161234,10,0.297578413
47,Australia_NZ,2050,CORE,Crops,6293.392762,10,-0.109528789
48,Australia_NZ,2050,CORE,desert,14.034923,10,0
49,Australia_NZ,2050,CORE,Forests (Harvested),636.5589141,10,0.014389601
50,Australia_NZ,2050,CORE,Forests (Unmanaged),1909.071942,10,0.100919835
51,Australia_NZ,2050,CORE,Grassland,55676.84294,10,0.005960464
52,Australia_NZ,2050,CORE,Grazed Pasture,2600.801788,10,0.165468292
53,Australia_NZ,2050,CORE,Shrubland,27572.01056,10,-0.019284874
54,Australia_NZ,2050,CORE,urban,13.9596377,10,0
55,Brazil,2050,CORE,Biomass,189.866062,10,-0.870933304
56,Brazil,2050,CORE,Crops,10897.51472,10,-0.132426669
57,Brazil,2050,CORE,desert,7.61083,10,0
58,Brazil,2050,CORE,Forests (Harvested),1670.092971,10,-0.027416021
59,Brazil,2050,CORE,Forests (Unmanaged),46820.98514,10,0.001096535
60,Brazil,2050,CORE,Grassland,28731.91025,10,0.115214465
61,Brazil,2050,CORE,Grazed Pasture,5687.045962,10,-0.122161754
62,Brazil,2050,CORE,Shrubland,6756.593634,10,-0.012967635
63,Brazil,2050,CORE,urban,32.59289,10,0
64,Canada,2050,CORE,Biomass,299.4386572,10,-5.555095602
